id,siblings_id,arb_sample,arb_attention_check,arb_distractions,arb_sped,arb_csd,arb_eco_shift,arb_abs_shift,age,test_envr,unp_perceived,unp_interview,unp_agg,vio_neighborhood,vio_fighting,vio_agg,ses_perceived,ses_interview,ses_school,ses_agg,abs_shifting_sc,eco_shifting_sc,abs_updating,eco_updating
p0001,sibling_000,wjms,0,0,NA,3,25,30,14,1,2,-0.7931382738148606,-0.4758163330055759,1.1428571428571428,2,-0.6447607730994116,4.333333333333333,-0.3647304300471863,NA,0.19831037523400258,-82.14285714285711,29.131868131868032,0.7333333333333333,0.6
p0002,sibling_000,wjms,0,0,0,1,31,31,14,1.25,1.5,0.009391590935386404,-0.33309864865712663,2.2857142857142856,1,-0.22995444899706918,3.3333333333333335,1.4784522301610812,0.5,0.5078069416402535,11.671794871794873,332.79999999999995,0.6,0.4
p0003,sibling_000,wjms,0,0,0,10,31,28,14,1.25,1,-0.19124087525217537,-0.7973644490307783,1.5714285714285714,1.5,-0.5328060256802796,4.333333333333333,1.6413569564482808,0.5,1.0685129450072475,158.6538461538462,319.13333333333344,0.7333333333333333,0.7333333333333333
p0004,sibling_000,wjms,0,0,0,1,31,31,14,1.25,2.3333333333333335,0.2951456824331325,0.4112511003383491,2.2857142857142856,5.5,1.3395600192958033,2.8333333333333335,1.3458230975166596,0.5,0.2078198719354376,265.0982142857142,342.6714285714286,0.6,0.6
p0005,sibling_000,wjms,0,0,0,1,31,31,14,1.25,1.3333333333333333,-0.7931382738148606,-0.9329751375778845,1.2857142857142858,2,-0.5493123584673723,4.333333333333333,0.4239145517232832,0.5,0.6014387779669692,534.7333333333333,25.4375,0.8,0.6666666666666666
p0006,sibling_000,wjms,0,0,0,11,29,28,14,1.25,1.1666666666666667,-0.48507012179134407,-0.8608620256564781,1.7142857142857142,1,-0.6117481075252262,4,0.8305425676261354,0.5,0.5913733188445055,104.91428571428582,-95.9230769230769,0.8,0.6666666666666666
p0007,wjms_sibling_040,wjms,0,0,0,3,29,32,14,1.5,2.1666666666666665,-0.7931382738148606,-0.36152663186249884,1.7142857142857142,1,-0.6117481075252262,4.166666666666667,-0.294902963535162,0.5,0.242628480421219,10.666666666666742,422.33333333333326,0.6666666666666666,0.6
p0008,wjms_sibling_340,wjms,0,0,0,2,30,29,15,1,1.8333333333333333,-0.7931382738148606,-0.590106034148653,1.4285714285714286,3.5,0.06930754559562452,4,1.3180276340035986,0.5,0.778397920944069,153.23076923076917,304.53846153846143,0.6666666666666666,0.6666666666666666
p0009,sibling_000,wjms,0,0,0,11,30,28,14,1,1,-0.7931382738148606,-1.161554539864039,1.8571428571428572,1.5,-0.341909196416201,3.8333333333333335,0.8515554919778414,0.5,0.5164004209086448,-47.99242424242425,-39.89560439560444,0.7333333333333333,0.9333333333333333
p0010,sibling_000,wjms,0,0,0,1,31,31,14,1.75,3.3333333333333335,1.5531673090277165,1.8581805194428846,3,5,1.642411595979014,3.1666666666666665,0.13201967053685298,0.5,-0.0917890989775171,538.375,124.125,0.6,0.8666666666666667
