id,sample_code,interviewer,site,classroom,sex,ethnicity,age,has_sibling,non_arb_impaired_assent,non_arb_impaired,non_arb_attention_check,non_arb_q_responses,non_arb_sped_60min,non_arb_distractions,arb_sped,test_envr_noisy,test_envr_chaotic,test_envr_interrupted,test_envr_distracted,test_envr,csd1,csd2,csd3,csd4,csd5,csd6,csd7,csd8,csd9,csd,unp_perceived1,unp_perceived2,unp_perceived3,unp_perceived4,unp_perceived5,unp_perceived6,unp_perceived,unp_interview_disrupted,unp_interview_figures,unp_interview_moves,vio_neighborhood1,vio_neighborhood2,vio_neighborhood3,vio_neighborhood4,vio_neighborhood5,vio_neighborhood6,vio_neighborhood7,vio_neighborhood,vio_fighting1,vio_fighting2,vio_fighting,ses_perceived1,ses_perceived2,ses_perceived3,ses_perceived4,ses_perceived5,ses_perceived6,ses_perceived7,ses_perceived,ses_interview_edu,ses_interview_occup,ses_school_freelunch,eco_shifting_correct,eco_shifting_sc,abs_shifting_correct,abs_shifting_sc,eco_updating_r1_correct,eco_updating_r2_correct,eco_updating_r3_correct,eco_updating_r4_correct,eco_updating_r5_correct,eco_updating,abs_updating_r1_correct,abs_updating_r2_correct,abs_updating_r3_correct,abs_updating_r4_correct,abs_updating_r5_correct,abs_updating,siblings_n,siblings_id
p0351,wjms,BM,wjms,wi_p7_2019,1,1,13,1,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,2,1,2,1,1,1,1,4,5,1,2,1,1,1,1.1666666666666667,0,0,2,4,2,5,1,1,2,2,1.5714285714285714,1,1,1,5,5,5,5,4,3,1,4.5,2.5,44.283964157104506,0,30,-119.39285714285711,32,61.75,3,3,3,2,3,0.9333333333333333,3,3,3,3,1,0.8666666666666667,4,wjms_sibling_070
p0352,wjms,HH,wjms,wi_p2_2019,2,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,2,2,3,1,1.8333333333333333,0,0,2,5,1,4,1,1,2,2,1.4285714285714286,2,NA,2,5,5,5,5,3,3,2,4.333333333333333,2,36.3636360168457,0,30,527.7190476190476,29,17.416666666666742,3,2,2,2,1,0.6666666666666666,3,3,3,1,2,0.8,525,sibling_000
p0353,wjms,HH,wjms,wi_p5_2019,2,1,13,0,0,0,0,0,0,0,0,3,1,1,1,1.5,2,1,2,2,1,2,1,2,1,13,5,4,2,1,1,1,1.6666666666666667,0,0,0,5,1,4,1,1,1,2,1.2857142857142858,2,1,1.5,4,5,5,4,3,2,2,3.8333333333333335,1.5,49.6404991149902,0,29,352.19047619047615,30,138.2461538461538,3,3,3,2,3,0.9333333333333333,3,3,2,3,3,0.9333333333333333,525,sibling_000
p0354,wjms,AG,wjms,wi_p5_2019,1,2,13,0,0,0,0,0,0,0,0,4,1,1,1,1.75,1,1,1,2,2,2,1,2,2,10,3,2,2,2,1,1,1.8333333333333333,0,0,0,4,1,4,1,1,2,2,1.5714285714285714,2,1,1.5,5,5,5,5,3,3,3,4.333333333333333,1,36.3812122344971,0,31,542.8,31,-238.9333333333334,3,3,3,3,3,1,3,3,3,3,2,0.9333333333333333,525,sibling_000
p0355,wjms,MJ,wjms,wi_p2_2019,2,6,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,4,1,2,4,1,1,1.8333333333333333,0,0,0,4,1,4,2,1,1,2,1.5714285714285714,3,2,2.5,5,5,5,4,4,4,2,4.5,0.5,30.594532012939453,0,30,400.77472527472514,30,568.7948717948718,2,3,2,3,1,0.7333333333333333,3,1,0,1,0,0.3333333333333333,2,wjms_sibling_450
p0356,wjms,HH,wjms,wi_p3_2019,1,4,13,0,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,1,2,1,2,1,1,3,5,1,3,1,1,2,1.5,2,3,0,5,1,5,1,1,1,1,1,1,1,1,5,5,5,5,3,3,1,4.333333333333333,1,41.19727325439455,0,24,364.5050505050506,26,290.95000000000005,3,3,3,2,3,0.9333333333333333,2,2,3,3,3,0.8666666666666667,525,sibling_000
p0357,wjms,HH,wjms,wi_p4_2019,2,1,13,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,3,1,3,2,2,1,2,0,0,1,3,2,2,3,2,3,3,2.857142857142857,4,1,2.5,5,5,5,5,2,2,2,4,2.5,59.246795654296896,0,21,129.70000000000005,24,41.98412698412699,3,2,3,0,1,0.6,2,1,3,1,2,0.6,525,sibling_000
p0358,wjms,MJ,wjms,wi_p4_2019,1,1,13,0,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,2,1,1,2,1,1,5,5,1,4,1,1,1,1.5,0,0,0,5,1,4,1,1,1,1,1.1428571428571428,1,2,1.5,5,5,5,5,2,1,1,3.8333333333333335,2,72.9938278198242,0,21,235.95833333333337,26,124.05555555555554,3,3,3,3,3,1,1,0,1,3,3,0.5333333333333333,525,sibling_000
p0359,wjms,MJ,wjms,wi_p6_2019,2,6,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6,4,1,2,4,2,1,2,0,0,0,5,1,4,1,1,5,1,1.7142857142857142,4,1,2.5,4,3,4,5,1,1,2,3,0,26.4856777191162,1,22,429.5584415584415,30,406.70000000000005,1,3,1,0,0,0.3333333333333333,2,3,3,1,3,0.8,525,sibling_000
p0360,wjms,HH,wjms,wi_p7_2019,2,1,13,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,2,1,5,4,3,3,5,1,1,2.5,0,0,0,5,1,5,1,1,1,1,1,1,1,1,5,5,5,5,3,1,2,4,2,45.7295379638672,0,29,229.6025641025641,26,162.875,2,3,1,0,2,0.5333333333333333,1,3,2,0,1,0.4666666666666667,2,wjms_sibling_040
