<<<<<<< HEAD
id,sample_code,interviewer,site,classroom,sex,ethnicity,age,has_sibling,siblings,non_arb_impaired_assent,non_arb_impaired,non_arb_attention_check,non_arb_q_responses,non_arb_sped_60min,non_arb_distractions,arb_sped,test_envr_noisy,test_envr_chaotic,test_envr_interrupted,test_envr_distracted,test_envr,csd1,csd2,csd3,csd4,csd5,csd6,csd7,csd8,csd9,csd10,csd11,csd12,csd13,csd14,csd,unp_perceived1,unp_perceived2,unp_perceived3,unp_perceived4,unp_perceived5,unp_perceived6,unp_perceived,unp_interview_disrupted,unp_interview_figures,unp_interview_moves,vio_neighborhood1,vio_neighborhood2,vio_neighborhood3,vio_neighborhood4,vio_neighborhood5,vio_neighborhood6,vio_neighborhood7,vio_neighborhood,vio_fighting1,vio_fighting2,vio_fighting,ses_perceived1,ses_perceived2,ses_perceived3,ses_perceived4,ses_perceived5,ses_perceived6,ses_perceived7,ses_perceived,ses_school_wjms_fee,ses_school_wjms_hom,ses_school_wjms_frl,ses_school_wjms_rel,ses_interview_edu,ses_interview_occup,ses_school_freelunch,eco_shifting_correct,eco_shifting_re_rt,eco_shifting_sw_rt,eco_shifting_sc,abs_shifting_correct,abs_shifting_re_rt,abs_shifting_sw_rt,abs_shifting_sc,eco_updating_r1_correct,eco_updating_r2_correct,eco_updating_r3_correct,eco_updating_r4_correct,eco_updating_r5_correct,eco_updating,abs_updating_r1_correct,abs_updating_r2_correct,abs_updating_r3_correct,abs_updating_r4_correct,abs_updating_r5_correct,abs_updating
p0001,wjms,MK,wjms,ca_p1_2018,2,2,14,0,wjms_sibling_000,0,0,0,0,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,2,4,2,1,1,2,0,0,0,5,1,4,1,1,1,1,1.1428571428571428,2,2,2,5,5,5,5,3,3,1,4.333333333333333,NA,NA,NA,NA,1.5,35.15114402770995,NA,25,1390,1211.375,29.131868131868032,30,1429.125,1337.6875,-82.14285714285711,3,3,2,1,0,0.6,0,3,3,2,3,0.7333333333333333
p0002,wjms,MJ,wjms,ca_p7_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,2,1,1,1,1.25,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,5,2,1,1,3,1,1.5,0,0,4,4,2,2,1,1,4,2,2.2857142857142856,1,1,1,4,4,4,4,1,3,3,3.3333333333333335,0,0,0,0,3,56.730770111084,0,31,1691.875,2025.125,332.79999999999995,31,1708.8125,1564.5,11.671794871794873,3,1,1,0,1,0.4,2,3,2,2,0,0.6
p0003,wjms,MK,wjms,ca_p1_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,1,1,2,1,1.25,1,1,1,2,1,2,1,2,1,2,2,1,1,2,10,5,1,1,1,1,1,1,0,0,3,4,1,3,2,1,1,1,1.5714285714285714,2,1,1.5,5,5,5,4,3,4,1,4.333333333333333,0,0,0,0,3,60.1746253967285,0,31,961.8125,1245.5,319.13333333333344,28,1013.8125,1104.5625,158.6538461538462,3,3,3,1,1,0.7333333333333333,0,3,3,2,3,0.7333333333333333
p0004,wjms,HH,wjms,ca_p6_2018,1,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,3,2,2,3,3,1,2.3333333333333335,1,2,2,4,3,3,2,2,2,2,2.2857142857142856,8,3,5.5,3,4,4,3,2,1,3,2.8333333333333335,0,0,0,0,2.5,59.7222213745117,0,31,1377.1875,1841,342.6714285714286,31,788.6875,1049.375,265.0982142857142,0,3,3,3,0,0.6,0,3,3,1,2,0.6
p0005,wjms,MK,wjms,ca_p1_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,1,1,2,1,1.25,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,5,1,3,1,1,1,1.3333333333333333,0,0,0,5,2,4,1,1,1,1,1.2857142857142858,3,1,2,5,5,5,5,3,3,1,4.333333333333333,0,0,0,0,2,46.02806663513185,0,31,1744.5625,1997.25,25.4375,31,1437.75,1969.6875,534.7333333333333,0,3,3,3,1,0.6666666666666666,3,3,3,2,1,0.8
p0006,wjms,MJ,wjms,mo_p1_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,2,1,1,1,1.25,2,1,2,2,1,2,1,1,2,2,2,2,2,1,11,4,1,1,1,1,1,1.1666666666666667,NA,0,1,4,1,3,1,1,2,2,1.7142857142857142,1,1,1,5,5,5,5,2,2,2,4,0,0,0,0,2.5,48.82903480529785,0,29,1652.625,1877.0625,-95.9230769230769,28,1049.0625,1003.0625,104.91428571428582,2,3,2,2,1,0.6666666666666666,2,3,3,2,2,0.8
p0007,wjms,MJ,wjms,ca_p7_2018,1,1,14,1,wjms_sibling_040,0,0,0,0,0,0,0,2,1,2,1,1.5,1,1,1,1,2,1,2,1,1,1,2,2,1,2,3,5,2,3,5,1,1,2.1666666666666665,0,0,0,4,1,4,1,1,2,3,1.7142857142857142,1,1,1,5,4,5,5,3,3,2,4.166666666666667,0,0,0,0,2,30.8320465087891,0,29,1356.5,1791.1875,422.33333333333326,32,1741.25,1568.125,10.666666666666742,1,3,2,2,1,0.6,2,2,3,1,2,0.6666666666666666
p0008,wjms,MJ,wjms,ca_p7_2018,2,1,15,1,wjms_sibling_340,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1.8333333333333333,0,0,0,5,2,3,1,1,1,1,1.4285714285714286,5,2,3.5,5,5,5,5,2,2,2,4,0,0,0,0,2.5,59.1346168518066,0,30,1100.8125,1715.375,304.53846153846143,29,964.375,936.0625,153.23076923076917,2,3,1,3,1,0.6666666666666666,0,3,3,3,1,0.6666666666666666
p0009,wjms,MJ,wjms,ca_p7_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,11,5,1,1,1,1,1,1,0,0,0,4,3,4,1,1,2,2,1.8571428571428572,2,1,1.5,5,5,5,5,2,1,1,3.8333333333333335,0,0,0,0,2.5,49.2732543945312,0,30,1038.25,1037.875,-39.89560439560444,28,985.8125,1011.1875,-47.99242424242425,3,3,3,2,3,0.9333333333333333,2,3,3,2,1,0.7333333333333333
p0010,wjms,AG,wjms,mo_p5_2018,2,1,14,0,wjms_sibling_000,0,0,0,0,0,0,0,2,1,3,1,1.75,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,3,3,4,4,1,5,3.3333333333333335,2,6,3,2,3,3,3,2,4,2,3,7,3,5,4,3,4,4,2,2,2,3.1666666666666665,0,0,0,0,1.5,45.65259170532225,0,31,1277.875,1504.8125,124.125,31,1263.125,1875.5,538.375,3,3,3,2,2,0.8666666666666667,1,3,0,2,3,0.6
